t_no	u_no	l_no1	l_no2	DATE	time	rating	div	seat	price	phone	password
91		3	13	2024-08-26	21:00	3	1	7	103500	010-8394-7026	7635
92	193	14	4	2024-08-26	21:00	3	1	2	99000		
93	32	29	16	2024-08-26	22:00	2	1	8	66240		
94	121	6	7	2024-08-26	6:00	2	1	26	20160		
95	190	24	8	2024-08-26	6:00	3	1	2	144000		
96	34	27	4	2024-08-26	10:00	3	1	1	202500		
97	56	16	27	2024-08-26	11:00	3	1	7	123750		
98	19	25	7	2024-08-26	13:00	1	1	6	66000		
99	154	19	21	2024-08-26	14:00	3	1	4	63000		
100	48	16	30	2024-08-26	20:00	2	1	12	92160		
101	32	19	25	2024-08-26	20:00	1	1	3	27000		
102	195	10	29	2024-08-26	20:00	1	1	10	68000		
103	70	22	24	2024-08-26	21:00	3	1	2	123750		
104	183	29	22	2024-08-26	7:00	3	1	10	123750		
105	149	26	1	2024-08-26	10:00	3	1	6	231750		
106	114	5	16	2024-08-26	11:00	2	1	25	59040		
107	155	12	28	2024-08-26	12:00	3	1	4	137250		
108	40	23	19	2024-08-26	12:00	3	1	10	40500		
109		18	21	2024-08-26	13:00	1	1	20	61000	010-5723-4906	7106
110	143	24	14	2024-08-26	17:00	2	1	15	96480		
111	97	22	27	2024-08-26	18:00	1	1	10	21000		
112	16	24	2	2024-08-26	18:00	3	1	9	220500		
113	36	27	18	2024-08-26	20:00	2	1	14	57600		
114	84	24	23	2024-08-26	9:00	2	1	18	40320		
115		15	9	2024-08-26	11:00	1	1	10	36000	010-3761-9054	2656
116	189	18	16	2024-08-26	12:00	2	1	20	72000		
117	77	30	2	2024-08-26	12:00	3	1	7	249750		
118	73	3	5	2024-08-26	12:00	3	1	9	27000		
119	128	3	22	2024-08-26	16:00	1	1	44	83000		
120	11	28	10	2024-08-26	18:00	1	1	3	61000		
121	123	2	14	2024-08-26	19:00	3	1	5	141750		
122	168	2	24	2024-08-26	21:00	2	1	11	141120		
123	196	15	20	2024-08-26	6:00	2	1	1	57600		
124		2	7	2024-08-26	6:00	1	1	40	30000	010-7214-8903	7907
125	169	21	8	2024-08-26	8:00	2	1	2	72000		
126	190	5	15	2024-08-26	9:00	2	1	16	67680		
127	157	14	1	2024-08-26	9:00	1	1	38	58000		
128	197	4	18	2024-08-26	11:00	2	1	13	74880		
129	148	2	17	2024-08-26	13:00	3	1	1	155250		
130	32	25	10	2024-08-26	14:00	1	1	2	53000		
131	80	29	22	2024-08-26	15:00	3	1	1	123750		
132	45	21	18	2024-08-26	15:00	2	1	20	87840		
133	78	21	4	2024-08-26	15:00	1	1	37	85000		
134	2	28	21	2024-08-26	16:00	3	1	9	85500		
135	6	9	1	2024-08-26	20:00	3	1	6	135000		
136	76	29	6	2024-08-26	21:00	3	1	10	189000		
137	4	6	5	2024-08-26	22:00	1	1	32	13000		
138	144	19	21	2024-08-26	8:00	3	1	5	63000		
139	168	3	2	2024-08-26	9:00	2	1	20	27360		
140	48	13	4	2024-08-26	10:00	1	1	1	51000		
141	6	22	30	2024-08-26	12:00	1	1	43	26000		
142	61	15	30	2024-08-26	15:00	3	1	9	121500		
143	150	9	13	2024-08-26	16:00	2	1	23	37440		
144		29	24	2024-08-26	17:00	1	1	41	11000	010-5723-9168	1254
145	36	29	13	2024-08-26	17:00	3	1	7	128250		
146		5	7	2024-08-26	18:00	3	1	3	60750	010-5932-7168	4700
147	87	21	14	2024-08-26	20:00	2	1	13	74880		
148	32	1	27	2024-08-26	21:00	1	1	40	104000		
149	14	15	7	2024-08-26	22:00	3	1	1	67500		
150	70	4	17	2024-08-26	22:00	3	1	2	173250		
151	4	4	20	2024-08-26	6:00	3	1	8	200250		
152	62	1	9	2024-08-26	9:00	1	1	33	60000		
153	155	25	16	2024-08-26	10:00	1	1	31	34000		
154	28	2	3	2024-08-26	12:00	3	1	8	42750		
155	168	5	18	2024-08-26	16:00	1	1	34	74000		
156	41	6	5	2024-08-26	17:00	1	1	18	13000		
157	71	24	10	2024-08-26	19:00	2	1	27	86400		
158	170	25	21	2024-08-26	20:00	3	1	5	36000		
159	40	8	15	2024-08-26	21:00	1	1	23	31000		
160	19	16	18	2024-08-26	6:00	2	1	11	72000		
161	72	1	16	2024-08-26	9:00	3	1	6	157500		
162	198	3	1	2024-08-26	13:00	2	1	4	59040		
163	76	19	26	2024-08-26	15:00	1	1	21	38000		
164	38	26	9	2024-08-26	8:00	2	1	19	120960		
165	131	13	23	2024-08-26	8:00	1	1	34	35000		
166		11	30	2024-08-26	9:00	3	1	1	141750	010-4893-7250	5166
167	124	15	5	2024-08-26	10:00	1	1	16	47000		
168	139	8	13	2024-08-26	13:00	1	1	18	21000		
169	193	14	29	2024-08-26	13:00	1	1	39	71000		
170	193	28	26	2024-08-26	14:00	3	1	9	47250		
171	117	19	30	2024-08-26	15:00	3	1	2	96750		
172	55	23	1	2024-08-26	15:00	3	1	7	207000		
173	195	17	1	2024-08-26	17:00	3	1	7	184500		
174	54	18	23	2024-08-26	17:00	1	1	30	47000		
175	166	23	20	2024-08-26	19:00	3	1	2	63000		
176	34	18	17	2024-08-26	21:00	2	1	15	96480		
177	166	7	16	2024-08-26	21:00	3	1	8	76500		
178	196	13	7	2024-08-26	22:00	2	1	7	34560		
179	22	13	20	2024-08-26	6:00	1	1	18	37000		
180	92	29	22	2024-08-26	6:00	3	1	7	123750		
181	132	27	2	2024-08-26	7:00	2	1	27	152640		
182	138	17	22	2024-08-26	8:00	1	1	39	54000		
183	83	6	30	2024-08-26	9:00	2	1	8	133920		
184		15	5	2024-08-26	13:00	1	1	14	47000	010-7204-5391	5367
185	76	24	26	2024-08-26	14:00	2	1	26	92160		
186	130	7	6	2024-08-26	21:00	3	1	7	31500		
187	135	16	15	2024-08-26	21:00	3	1	1	38250		
188	148	27	8	2024-08-26	6:00	1	1	28	78000		
189	8	9	18	2024-08-26	7:00	3	1	3	153000		
190	166	29	25	2024-08-26	8:00	2	1	5	27360		
191	141	28	10	2024-08-26	8:00	1	1	22	61000		
192	76	3	9	2024-08-26	8:00	1	1	9	30000		
193		2	24	2024-08-26	9:00	2	1	27	141120	010-2943-5876	9736
194	16	26	30	2024-08-26	9:00	1	1	6	4000		
195	57	24	8	2024-08-26	10:00	3	1	8	144000		
196	80	25	19	2024-08-26	11:00	2	1	13	38880		
197		7	4	2024-08-26	11:00	3	1	6	69750	010-2379-8104	7924
198		16	19	2024-08-26	13:00	2	1	9	30240	010-3894-0176	5645
199	179	19	10	2024-08-26	14:00	1	1	16	30000		
200	94	21	8	2024-08-26	22:00	2	1	27	72000		
201	98	30	22	2024-08-26	8:00	2	1	2	37440		
202		23	10	2024-08-26	10:00	1	1	9	45000	010-9324-6801	8019
203	159	23	4	2024-08-26	11:00	2	1	8	118080		
204	147	26	11	2024-08-26	12:00	3	1	4	132750		
205		20	24	2024-08-26	13:00	3	1	6	36000	010-6871-5403	7683
206	86	25	22	2024-08-26	14:00	3	1	9	78750		
207	112	12	21	2024-08-26	14:00	3	1	2	69750		
208	132	7	12	2024-08-26	16:00	2	1	25	44640		
209	16	3	11	2024-08-26	17:00	2	1	15	76320		
210	82	1	25	2024-08-26	21:00	2	1	3	145440		
211	147	3	2	2024-08-26	21:00	2	1	16	27360		
212	45	27	9	2024-08-26	10:00	1	1	33	81000		
213	98	27	8	2024-08-26	10:00	1	1	10	78000		
214	131	18	15	2024-08-26	12:00	2	1	11	47520		
215	108	17	12	2024-08-26	13:00	3	1	7	33750		
216	117	12	16	2024-08-26	16:00	2	1	10	17280		
217	116	18	27	2024-08-26	16:00	1	1	42	40000		
218	196	23	10	2024-08-26	17:00	1	1	33	45000		
219	40	16	27	2024-08-26	17:00	3	1	4	123750		
220	102	16	1	2024-08-26	19:00	2	1	7	100800		
221	7	8	22	2024-08-26	20:00	1	1	42	59000		
222	53	7	18	2024-08-26	9:00	3	1	6	108000		
223	177	25	5	2024-08-26	15:00	2	1	2	106560		
224	49	13	21	2024-08-26	16:00	3	1	6	76500		
225	162	29	6	2024-08-26	16:00	3	1	10	189000		
226	156	22	16	2024-08-26	17:00	3	1	3	87750		
227	7	16	27	2024-08-26	17:00	3	1	7	123750		
228	193	26	1	2024-08-26	18:00	3	1	1	231750		
229	82	25	19	2024-08-26	21:00	2	1	18	38880		
230	34	18	3	2024-08-26	8:00	1	1	10	79000		
231	73	15	6	2024-08-26	10:00	2	1	16	56160		
232	124	29	12	2024-08-26	11:00	1	1	1	54000		
233	148	7	13	2024-08-26	11:00	3	1	9	54000		
234	148	21	6	2024-08-26	12:00	3	1	8	135000		
235	194	30	17	2024-08-26	15:00	2	1	20	109440		
236	138	11	26	2024-08-26	15:00	1	1	31	59000		
237	14	25	22	2024-08-26	16:00	3	1	5	78750		
238	148	2	13	2024-08-26	18:00	3	1	5	119250		
239	130	3	1	2024-08-26	6:00	2	1	1	59040		
240	18	22	13	2024-08-26	7:00	2	1	7	54720		
241	195	13	15	2024-08-26	7:00	2	1	7	14400		
242	180	12	14	2024-08-26	8:00	1	1	26	45000		
243	45	28	6	2024-08-26	10:00	1	1	11	83000		
244	145	25	10	2024-08-26	11:00	1	1	13	53000		
245	60	28	8	2024-08-26	12:00	1	1	6	74000		
246	182	30	23	2024-08-26	15:00	3	1	7	94500		
247	185	16	6	2024-08-26	16:00	1	1	4	38000		
248	73	14	4	2024-08-26	17:00	3	1	8	99000		
249	154	24	4	2024-08-26	18:00	3	1	7	229500		
250		18	13	2024-08-26	21:00	2	1	17	60480	010-8179-5206	8238
251	179	2	25	2024-08-26	22:00	3	1	5	213750		
252	190	8	13	2024-08-26	6:00	1	1	27	21000		
253	113	16	10	2024-08-26	8:00	1	1	19	21000		
254		5	14	2024-08-26	10:00	3	1	2	132750	010-8197-6054	2868
255	159	14	8	2024-08-26	12:00	3	1	4	96750		
256	16	18	15	2024-08-26	14:00	2	1	26	47520		
257	18	10	8	2024-08-26	16:00	3	1	6	31500		
258	122	5	2	2024-08-26	18:00	2	1	12	41760		
259	152	13	10	2024-08-26	21:00	2	1	26	14400		
260		3	23	2024-08-26	6:00	2	1	16	115200	010-4726-3910	8878
261	186	28	30	2024-08-26	6:00	1	1	18	24000		
262	20	23	25	2024-08-26	7:00	2	1	5	12960		
263	49	27	17	2024-08-26	8:00	3	1	2	148500		
264		30	1	2024-08-26	10:00	2	1	6	152640	010-5723-4906	7106
265		29	27	2024-08-26	10:00	3	1	4	119250	010-2593-6807	5156
266	6	30	11	2024-08-26	10:00	3	1	7	141750		
267	102	2	22	2024-08-26	12:00	3	1	6	191250		
268	109	4	30	2024-08-26	13:00	2	1	23	132480		
269	96	16	6	2024-08-26	14:00	1	1	17	38000		
270	198	15	7	2024-08-26	14:00	3	1	1	67500		
271	152	17	16	2024-08-26	14:00	2	1	25	24480		
272	24	13	10	2024-08-26	15:00	2	1	7	14400		
273		13	15	2024-08-26	16:00	2	1	26	14400	010-1857-6304	4254
274	11	25	23	2024-08-26	17:00	1	1	7	9000		
275	135	27	9	2024-08-26	6:00	1	1	39	81000		
276	198	20	2	2024-08-26	6:00	3	1	6	186750		
277	182	25	19	2024-08-26	13:00	2	1	21	38880		
278	191	28	17	2024-08-26	17:00	2	1	14	80640		
279	76	5	30	2024-08-26	19:00	2	1	25	145440		
280	118	25	9	2024-08-26	6:00	1	1	42	57000		
281	166	24	4	2024-08-26	12:00	3	1	7	229500		
282	158	1	15	2024-08-26	12:00	1	1	37	63000		
283	180	26	9	2024-08-26	14:00	2	1	4	120960		
284	131	19	9	2024-08-26	15:00	2	1	2	66240		
285	56	16	18	2024-08-26	16:00	2	1	21	72000		
286	195	8	11	2024-08-26	18:00	2	1	5	48960		
287	3	15	25	2024-08-26	20:00	2	1	24	54720		
288	141	10	8	2024-08-26	21:00	3	1	10	31500		
289	111	7	6	2024-08-26	22:00	3	1	9	31500		
290	86	6	17	2024-08-26	6:00	1	1	35	45000		
291	22	15	22	2024-08-26	6:00	1	1	44	27000		
292	115	18	13	2024-08-26	7:00	2	1	21	60480		
293	158	26	27	2024-08-26	12:00	3	1	8	15750		
294	122	16	7	2024-08-26	15:00	3	1	2	76500		
295	26	8	4	2024-08-26	15:00	2	1	5	64800		
296	28	5	15	2024-08-26	21:00	2	1	3	67680		
297	106	3	11	2024-08-26	22:00	2	1	2	76320		
298	160	20	18	2024-08-26	22:00	2	1	21	100800		
299	7	19	14	2024-08-26	9:00	1	1	28	24000		
300	103	23	5	2024-08-26	13:00	3	1	6	155250		
301	125	26	27	2024-08-26	17:00	3	1	7	15750		
302		1	26	2024-08-26	18:00	1	1	14	103000	010-3840-5729	2747
303	142	16	7	2024-08-26	22:00	3	1	9	76500		
304		28	13	2024-08-26	22:00	1	1	7	52000	010-8943-0516	0251
305	185	6	13	2024-08-26	9:00	3	1	6	67500		
306	64	19	15	2024-08-26	13:00	2	1	22	18720		
307	170	5	26	2024-08-26	16:00	2	1	27	139680		
308	4	8	12	2024-08-26	18:00	2	1	14	28800		
309	155	21	28	2024-08-26	18:00	2	1	27	54720		
310	173	22	3	2024-08-26	20:00	2	1	3	119520		
311	124	3	23	2024-08-26	20:00	2	1	26	115200		
312		22	2	2024-08-26	6:00	2	1	5	122400	010-9584-6013	2853
313	159	3	25	2024-08-26	11:00	2	1	8	123840		
314	131	8	27	2024-08-26	11:00	1	1	43	78000		
315	74	15	26	2024-08-26	11:00	1	1	4	49000		
316	143	2	10	2024-08-26	13:00	1	1	14	43000		
317	25	20	24	2024-08-26	15:00	3	1	7	36000		
318	79	2	27	2024-08-26	17:00	2	1	26	152640		
319	190	22	25	2024-08-26	17:00	3	1	1	78750		
320	156	21	20	2024-08-26	18:00	3	1	4	22500		
321	87	26	28	2024-08-26	6:00	1	1	10	21000		
322	131	10	27	2024-08-26	6:00	2	1	24	93600		
323	143	5	18	2024-08-26	6:00	1	1	13	74000		
324	18	30	23	2024-08-26	8:00	3	1	1	94500		
325	72	4	8	2024-08-26	11:00	3	1	4	101250		
326	98	7	16	2024-08-26	11:00	3	1	9	76500		
327	80	14	4	2024-08-26	14:00	3	1	2	99000		
328	124	19	28	2024-08-26	16:00	3	1	10	69750		
329	55	9	1	2024-08-26	19:00	3	1	3	135000		
330	115	5	27	2024-08-26	20:00	2	1	17	135360		
331	83	2	13	2024-08-26	22:00	3	1	1	119250		
332	194	8	15	2024-08-26	6:00	1	1	8	31000		
333	95	24	16	2024-08-26	7:00	3	1	5	85500		
334	45	4	22	2024-08-26	8:00	1	1	27	69000		
335	156	16	8	2024-08-26	8:00	1	1	13	28000		
336	30	9	24	2024-08-26	10:00	1	1	19	55000		
337	20	30	9	2024-08-26	14:00	2	1	12	128160		
338	133	12	22	2024-08-26	18:00	2	1	8	74880		
339	51	3	7	2024-08-26	21:00	2	1	6	44640		
340	197	19	25	2024-08-26	6:00	1	1	26	27000		
341	61	5	27	2024-08-26	10:00	2	1	12	135360		
342	146	26	7	2024-08-26	12:00	1	1	10	77000		
343	93	1	16	2024-08-26	19:00	3	1	7	157500		
344	2	5	8	2024-08-26	10:00	2	1	11	23040		
345	69	28	2	2024-08-26	14:00	3	1	3	234000		
346	90	5	13	2024-08-26	14:00	3	1	8	83250		
347	100	16	5	2024-08-26	16:00	1	1	4	41000		
348	173	30	11	2024-08-26	16:00	3	1	4	141750		
349	94	5	23	2024-08-26	16:00	1	1	3	69000		
350	106	11	15	2024-08-26	18:00	3	1	2	54000		
351	84	28	7	2024-08-26	19:00	3	1	5	166500		
352	127	18	15	2024-08-26	22:00	2	1	3	47520		
353	45	6	28	2024-08-26	6:00	1	1	8	83000		
354	84	16	8	2024-08-26	6:00	1	1	18	28000		
355	172	14	23	2024-08-26	10:00	2	1	25	60480		
356	175	8	11	2024-08-26	11:00	2	1	21	48960		
357	130	29	24	2024-08-26	12:00	1	1	33	11000		
358	31	18	23	2024-08-26	17:00	1	1	33	47000		
359	114	23	4	2024-08-26	18:00	2	1	26	118080		
360	177	24	4	2024-08-26	19:00	3	1	10	229500		
361	104	17	15	2024-08-26	19:00	2	1	24	48960		
362	163	2	20	2024-08-26	20:00	1	1	18	83000		
363		5	18	2024-08-26	20:00	1	1	37	74000	010-9175-8403	0965
364	25	2	12	2024-08-26	22:00	2	1	22	77760		
365	15	3	11	2024-08-26	6:00	2	1	8	76320		
366	183	26	30	2024-08-26	7:00	1	1	20	4000		
367	188	6	17	2024-08-26	10:00	1	1	23	45000		
368	188	1	2	2024-08-26	13:00	3	1	3	51750		
369	26	14	6	2024-08-26	16:00	3	1	3	108000		
370	88	5	6	2024-08-26	18:00	2	1	22	18720		
371	109	25	7	2024-08-26	21:00	1	1	16	66000		
372	169	17	20	2024-08-26	22:00	1	1	26	14000		
373	83	1	4	2024-08-26	22:00	3	1	10	36000		
374	180	8	11	2024-08-26	6:00	2	1	18	48960		
375	129	17	22	2024-08-26	10:00	1	1	27	54000		
376	172	26	14	2024-08-26	11:00	1	1	8	45000		
377		23	15	2024-08-26	14:00	3	1	7	65250	010-8423-1960	9884
378	166	18	12	2024-08-26	17:00	3	1	2	132750		
379	34	16	12	2024-08-26	18:00	1	1	14	12000		
380	157	29	7	2024-08-26	19:00	3	1	2	182250		
381	71	11	18	2024-08-26	22:00	1	1	14	27000		
382		29	8	2024-08-26	11:00	1	1	12	73000	010-3816-9542	5665
383	105	24	21	2024-08-26	16:00	3	1	10	36000		
384	81	2	22	2024-08-26	17:00	3	1	5	191250		
385		14	27	2024-08-26	17:00	3	1	10	103500	010-4726-3910	8878
386	173	26	28	2024-08-26	18:00	1	1	42	21000		
387	195	18	20	2024-08-26	18:00	1	1	19	70000		
388	41	4	25	2024-08-26	20:00	2	1	24	131040		
389	126	28	13	2024-08-26	21:00	1	1	1	52000		
390	112	27	16	2024-08-26	6:00	3	1	6	123750		
391	66	7	9	2024-08-26	6:00	3	1	2	67500		
392	100	18	14	2024-08-26	6:00	3	1	5	33750		
393		5	16	2024-08-26	7:00	2	1	3	59040	010-3176-4859	5014
394	43	19	25	2024-08-26	10:00	1	1	42	27000		
395	74	23	8	2024-08-26	15:00	2	1	23	79200		
396	63	1	6	2024-08-26	18:00	2	1	12	54720		
397		17	11	2024-08-26	21:00	2	1	9	79200	010-8475-1290	0231
398	192	1	15	2024-08-26	22:00	1	1	12	63000		
399	63	21	24	2024-08-26	6:00	3	1	1	36000		
400		6	5	2024-08-26	7:00	1	1	31	13000	010-2178-9304	3230
401	159	8	18	2024-08-26	7:00	1	1	23	58000		
402	18	12	22	2024-08-26	8:00	2	1	21	74880		
403	104	29	8	2024-08-26	12:00	1	1	23	73000		
404	124	20	12	2024-08-26	13:00	1	1	20	29000		
405	45	20	12	2024-08-26	13:00	1	1	31	29000		
406	171	23	22	2024-08-26	17:00	1	1	8	26000		
407	169	19	14	2024-08-26	18:00	1	1	43	24000		
408	93	3	19	2024-08-26	18:00	1	1	4	68000		
409	165	2	24	2024-08-26	20:00	2	1	26	141120		
410	149	24	4	2024-08-26	20:00	3	1	10	229500		
411	8	29	27	2024-08-26	22:00	3	1	3	119250		
412	161	5	4	2024-08-26	22:00	3	1	9	117000		
413		28	17	2024-08-26	6:00	2	1	26	80640	010-3587-6904	5716
414	39	29	10	2024-08-26	6:00	3	1	5	153000		
415	109	22	9	2024-08-26	9:00	2	1	7	90720		
416	10	24	19	2024-08-26	9:00	3	1	5	96750		
417	97	27	21	2024-08-26	11:00	2	1	5	72000		
418	24	15	14	2024-08-26	17:00	3	1	2	45000		
419	33	19	12	2024-08-26	19:00	1	1	1	34000		
420	44	22	17	2024-08-26	21:00	2	1	17	77760		
421	156	4	27	2024-08-26	22:00	1	1	35	90000		
422	107	10	8	2024-08-26	22:00	3	1	5	31500		
423	97	23	1	2024-08-26	7:00	3	1	10	207000		
424		13	1	2024-08-26	8:00	2	1	22	84960	010-6725-8190	1921
425	64	25	15	2024-08-26	9:00	3	1	2	85500		
426	116	10	28	2024-08-26	10:00	1	1	44	61000		
427	102	10	26	2024-08-26	11:00	2	1	6	96480		
428	18	14	27	2024-08-26	12:00	3	1	7	103500		
429	188	27	9	2024-08-26	13:00	1	1	42	81000		
430	177	5	6	2024-08-26	16:00	2	1	1	18720		
431	57	9	11	2024-08-26	16:00	3	1	5	105750		
432	36	9	17	2024-08-26	18:00	2	1	4	36000		
433	134	15	17	2024-08-26	18:00	3	1	10	76500		
434	37	9	7	2024-08-26	20:00	2	1	3	43200		
435	198	5	21	2024-08-26	6:00	1	1	15	61000		
436	95	1	26	2024-08-26	6:00	1	1	36	103000		
437	160	26	23	2024-08-26	13:00	3	1	7	85500		
438	139	27	4	2024-08-26	13:00	3	1	4	202500		
439	144	17	1	2024-08-26	15:00	3	1	2	184500		
440	42	25	18	2024-08-26	15:00	2	1	21	82080		
441		28	2	2024-08-26	16:00	3	1	9	234000	010-5402-6817	4328
442	117	9	24	2024-08-26	20:00	1	1	17	55000		
443	86	16	9	2024-08-26	21:00	3	1	5	56250		
444	59	13	1	2024-08-26	22:00	2	1	12	84960		
445	98	2	25	2024-08-26	9:00	3	1	6	213750		
446	121	23	4	2024-08-26	11:00	2	1	26	118080		
447	101	4	30	2024-08-26	13:00	2	1	15	132480		
448		5	2	2024-08-26	13:00	2	1	3	41760	010-8742-6503	6276
449	30	26	23	2024-08-26	13:00	3	1	9	85500		
450	123	19	1	2024-08-26	13:00	3	1	4	168750		
451	16	29	24	2024-08-26	15:00	1	1	16	11000		
452		7	23	2024-08-26	17:00	2	1	1	83520	010-6840-7129	1894
453	190	14	23	2024-08-26	20:00	2	1	9	60480		
454	168	19	12	2024-08-26	21:00	1	1	44	34000		
455	49	29	5	2024-08-26	21:00	1	1	30	84000		
456	7	23	10	2024-08-26	10:00	1	1	10	45000		
457	18	7	14	2024-08-26	11:00	2	1	2	48960		
458	189	10	4	2024-08-26	13:00	3	1	5	94500		
459	90	6	5	2024-08-26	16:00	1	1	29	13000		
460	136	19	26	2024-08-26	16:00	1	1	15	38000		
461	179	21	6	2024-08-26	17:00	3	1	8	135000		
462	58	14	26	2024-08-26	18:00	2	1	26	64800		
463	31	29	9	2024-08-26	21:00	1	1	28	66000		
464	81	13	5	2024-08-26	21:00	3	1	3	83250		
465	145	25	6	2024-08-26	21:00	2	1	21	103680		
466	85	18	6	2024-08-26	22:00	3	1	5	141750		
467	9	15	3	2024-08-26	8:00	1	1	43	56000		
468	124	10	11	2024-08-26	9:00	2	1	19	31680		
