U_No	ID	PW	name(Kor)	name(Eng)	Mileage	DateOfBirth
54	user54	user54!	최예은	Choi Yeeun	580	1976-11-26
55	user55	user55!	정민지	Jung Minji	390	1977-08-15
56	user56	user56!	김하준	Kim Hajun	770	1984-08-04
57	user57	user57!	이현서	Lee Hyunseo	310	1961-03-11
58	user58	user58!	박예린	Park Yerin	870	1951-05-22
59	user59	user59!	최유진	Choi Yujin	110	1973-05-28
60	user60	user60!	정서준	Jung Seojun	590	1970-10-15
61	user61	user61!	김민서	Kim Minseo	430	1980-10-20
62	user62	user62!	이지호	Lee Jiho	700	1951-10-22
63	user63	user63!	박민지	Park Minji	410	1984-08-05
64	user64	user64!	최현우	Choi Hyunwoo	260	1954-11-05
65	user65	user65!	정서윤	Jung Seoyoon	940	1965-09-12
66	user66	user66!	김예은	Kim Yeeun	490	1956-07-18
67	user67	user67!	이다은	Lee Daeun	950	1960-06-09
68	user68	user68!	박민지	Park Minji	140	1979-03-21
69	user69	user69!	최민서	Choi Minseo	80	1976-03-07
70	user70	user70!	정시우	Jung Siwoo	20	1965-07-02
71	user71	user71!	김현우	Kim Hyunwoo	710	1955-09-13
72	user72	user72!	이서윤	Lee Seoyoon	820	1952-09-03
73	user73	user73!	박예은	Park Yeeun	980	1986-02-16
74	user74	user74!	최지안	Choi Jian	10	1978-07-15
75	user75	user75!	정민서	Jung Minseo	990	1986-03-16
76	user76	user76!	김서준	Kim Seojun	340	1979-03-22
77	user77	user77!	이시현	Lee Sihyun	600	1959-07-31
78	user78	user78!	박서연	Park Seoyeon	10	1999-03-14
79	user79	user79!	최하은	Choi Haeun	580	1965-01-27
80	user80	user80!	정민주	Jung Minju	460	1955-10-21
81	user81	user81!	김민서	Kim Minseo	50	1962-08-31
82	user82	user82!	이시윤	Lee Siyun	820	1987-03-18
83	user83	user83!	박예은	Park Yeeun	740	1985-05-07
84	user84	user84!	최민서	Choi Minseo	30	1954-08-19
85	user85	user85!	정하윤	Jung Hayoon	230	1954-07-25
86	user86	user86!	김지우	Kim Jiu	570	1968-09-06
87	user87	user87!	이서현	Lee Seohyun	740	1977-07-14
88	user88	user88!	박시우	Park Siwoo	110	1991-06-23
89	user89	user89!	최서윤	Choi Seoyoon	910	1952-07-09
90	user90	user90!	정시현	Jung Sihyun	320	1970-02-22
91	user91	user91!	김민서	Kim Minseo	200	1987-12-13
92	user92	user92!	이지민	Lee Jimin	700	1960-07-01
93	user93	user93!	박민지	Park Minji	740	1959-06-20
94	user94	user94!	최서준	Choi Seojun	50	1955-06-27
95	user95	user95!	정지안	Jung Jian	800	1969-05-04
